MID;TITLE;YEAR;GENRES
1857;Diary of a Wimpy Kid;2010;Comedy,Family,
2333;Diary of a Wimpy Kid: Dog Days;2012;Comedy,Family,
2180;Diary of a Wimpy Kid: Rodrick Rules;2011;Comedy,Family,
1629;Diary of the Dead;2007;Horror,
1947;Did You Hear About the Morgans?;2009;Comedy,Drama,Romance,
708;Die Another Day;2002;Adventure,Action,Thriller,
1425;Die Päpstin;2009;Drama,Romance,
754;Digimon: The Movie;2000;Animation,Adventure,Sci_Fi,Family,Action,
1005;Dirty Dancing: Havana Nights;2004;Drama,Romance,
878;Dirty Pretty Things;2002;Drama,Thriller,Crime,
1872;Disaster Movie;2008;Comedy,
1821;District 9;2009;Sci_Fi,Action,Thriller,
1513;Disturbia;2007;Drama,Mystery,Thriller,
2273;Divergent;2014;Adventure,Sci_Fi,Mystery,
815;Divine Secrets of the Ya-Ya Sisterhood;2002;Drama,
2277;Django Unchained;2012;Western,
1076;Dodgeball: A True Underdog Story;2004;Comedy,Sport,
806;Dogville;2003;Drama,Thriller,Crime,
2101;Dolphin Tale;2011;Drama,Family,
716;Domestic Disturbance;2001;Mystery,Thriller,Crime,
1293;Domino;2005;Drama,Biography,Action,Thriller,Crime,
2387;Don Jon;2013;Comedy,Drama,Romance,
755;Don't Say a Word;2001;Drama,Mystery,Thriller,Crime,
1287;Doom;2005;Horror,Sci_Fi,Action,Thriller,
672;Down to Earth;2001;Comedy,Fantasy,
903;Down with Love;2003;Comedy,Romance,
687;Dr. Dolittle 2;2001;Comedy,Family,Romance,Fantasy,
655;Dracula 2000;2000;Horror,Thriller,
2276;Dracula 3D;2012;Horror,Romance,Thriller,
1607;Dracula Untold;2014;Drama,War,Horror,Action,Fantasy,
1808;Drag Me to Hell;2009;Horror,Thriller,
1792;Dragonball Evolution;2009;Adventure,Sci_Fi,Action,Fantasy,Thriller,
750;Dragonfly;2002;Drama,Romance,Fantasy,Mystery,Thriller,
834;Dreamcatcher;2003;Drama,Horror,Sci_Fi,Thriller,
1360;Dreamgirls;2006;Drama,Musical,Music,
1971;Dredd;2012;Sci_Fi,Action,
2560;Drishyam;2013;Drama,Thriller,Crime,
584;Drowning Mona;2000;Comedy,Mystery,Crime,
693;Dude, Where's My Car?;2000;Comedy,
1894;Due Date;2010;Comedy,
2349;Dumb and Dumber To;2014;Comedy,
