ID	Title	Year	Budget	Rating	Votes	Actor_Minor_0	Actor_Minor_1	Actor_Minor_2	Actor_Top_0	Actor_Top_1	Actor_Top_2	Actor_Low_0	Actor_Low_1	Actor_Low_2	Director_Low_0	Director_Low_1	Director_Low_2	Director_Top_0	Director_Top_1	Director_Top_2	Comedy	Short	Drama	Animation	News	History	War	Horror	Adventure	Sci_Fi	Biography	Documentary	Family	Action	Adult	Romance	Musical	Sport	Fantasy	Mystery	Thriller	Music	Crime	Western
4802	17 Again (2009)	2009	20000000.0	6.4	136725	23	48	15	0	2	0	2	2	5	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
4820	17 filles (2011)	2011	0.0	6.0	2330	3	42	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5193	180° South (2010)	2010	0.0	7.7	2016	0	19	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
5407	1920 (2008)	2008	0.0	6.3	1487	4	9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
5408	1920 Bitwa Warszawska (2011)	2011	0.0	4.2	1141	4	66	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
5409	1920: Evil Returns (2012)	2012	0.0	4.7	1055	2	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
5463	1944 (2015)	2015	1620000.0	7.4	1443	0	32	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5872	1981 (2009)	2009	0.0	7.2	1123	0	38	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
6654	2 Coelhos (2012)	2012	0.0	7.4	3788	0	62	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
6664	2 Days in New York (2012)	2012	8000000.0	6.0	11333	11	24	0	1	1	0	0	0	2	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
6665	2 Days in Paris (2007)	2007	0.0	6.8	25999	3	62	1	1	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
6693	2 Fast 2 Furious (2003)	2003	76000000.0	5.8	175085	5	0	24	0	3	0	0	2	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0
6701	2 Filhos de Francisco: A História de Zezé di Camargo & Luciano (2005)	2005	0.0	7.0	2402	0	30	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
6742	2 Guns (2013)	2013	61000000.0	6.8	144917	48	2	6	0	11	1	5	6	4	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0
6967	2 States (2014)	2014	0.0	7.1	13342	4	8	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
7100	20 30 40 (2004)	2004	0.0	6.7	1096	2	17	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0
7106	20 ans d'écart (2013)	2013	0.0	6.4	4945	11	40	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
7133	20 centímetros (2005)	2005	0.0	6.9	1426	5	32	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
7239	20 Years After (2008)	2008	1000000.0	3.3	1387	4	24	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
7262	20,000 Days on Earth (2014)	2014	0.0	7.5	6951	1	15	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
7293	20-seiki shônen: Dai 2 shô - Saigo no kibô (2009)	2009	20000000.0	6.4	1026	6	54	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
7294	20-seiki shônen: Honkaku kagaku bôken eiga (2008)	2008	20000000.0	6.7	1966	9	95	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0
7420	2001 Maniacs (2005)	2005	3000000.0	5.4	10084	4	59	5	0	2	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7422	2001 Maniacs: Field of Screams (2010)	2010	0.0	3.2	1811	2	24	5	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7450	2001: A Space Travesty (2000)	2000	45000000.0	3.3	9260	7	51	5	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7888	2009 Loseuteu maemorijeu (2002)	2002	7000000.0	6.2	2954	5	28	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0
8087	2012 (2009/I)	2009	200000000.0	5.8	264177	36	0	96	0	3	2	1	11	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
8349	2016: Obama's America (2012)	2012	2500000.0	5.1	8621	1	17	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
8397	2046 (2004)	2004	12000000.0	7.5	39717	5	9	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
8431	2081 (2009)	2009	0.0	7.1	1938	4	36	5	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
8502	21 & Over (2013)	2013	13000000.0	5.9	56659	16	58	3	0	0	0	0	2	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8508	21 (2008)	2008	35000000.0	6.8	182695	18	8	59	4	10	0	5	4	6	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
8540	21 Grams (2003)	2003	20000000.0	7.7	178541	5	29	10	0	9	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
8551	21 Jump Street (2012)	2012	42000000.0	7.2	375640	26	0	27	1	7	1	4	4	9	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
8563	21 tapaa pilata avioliitto (2013)	2013	1200000.0	6.3	1378	1	59	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8668	22 Female Kottayam (2012)	2012	0.0	7.3	1102	1	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0
