MID;TITLE;YEAR
393;Knock Off;1998
394;The Lord of the Rings: The Fellowship of the Ring;2001
395;Lost in Space;1998
396;Jane Austen's Mafia!;1998
397;The Mask of Zorro;1998
398;Mercury Rising;1998
399;Mission: Impossible II;2000
400;Mulan;1998
401;The Negotiator;1998
402;Out of Sight;1998
403;A Perfect Murder;1998
404;Practical Magic;1998
405;The Prince of Egypt;1998
406;Quest for Camelot;1998
407;Resident Evil;2002
408;Rush Hour;1998
409;Saving Private Ryan;1998
410;The Shipping News;2001
411;Six Days Seven Nights;1998
412;Snake Eyes;1998
413;Star Trek: Insurrection;1998
414;Tarzan;1999
415;The Thin Red Line;1998
416;U.S. Marshals;1998
417;Les couloirs du temps: Les visiteurs II;1998
418;The Wedding Singer;1998
419;What Dreams May Come;1998
420;Wild Wild West;1999
421;The X Files;1998
422;X-Men;2000
423;Fantasia 2000;1999
424;Men in Black II;2002
425;Titan A.E.;2000
426;Star Wars: Episode I - The Phantom Menace;1999
427;The Emperor's New Groove;2000
428;Corpse Bride;2005
429;Star Wars: Episode II - Attack of the Clones;2002
430;Star Wars: Episode III - Revenge of the Sith;2005
431;Lethal Weapon 4;1998
432;Ronin;1998
433;Small Soldiers;1998
434;Analyze This;1999
435;Blast from the Past;1999
436;The Cider House Rules;1999
437;Notting Hill;1999
438;Shrek;2001
439;Elizabeth;1998
440;You've Got Mail;1998
441;The Iron Giant;1999
442;Me and the Gods;1997
443;Patch Adams;1998
444;There's Something About Mary;1998
445;I Still Know What You Did Last Summer;1998
446;Mickey Blue Eyes;1999
447;Dinosaur;2000
448;Bowfinger;1999
449;Edtv;1999
450;The Matrix;1999
451;Mosura 2 - Kaitei no daikessen;1997
452;Planet of the Apes;2001
453;Treasure Planet;2002
454;Astérix & Obélix contre César;1999
455;The Siege;1998
456;The Rugrats Movie;1998
457;Scream 3;2000
458;The Talented Mr. Ripley;1999
459;8MM;1999
460;Pitch Black;2000
461;Rasen;1998
462;Arlington Road;1999
463;Entrapment;1999
464;Fight Club;1999
465;Shakespeare in Love;1998
466;Intolerable Cruelty;2003
467;The Road to El Dorado;2000
468;Cruel Intentions;1999
469;Lake Placid;1999
470;Message in a Bottle;1999
471;Training Day;2001
472;The Insider;1999
473;Forces of Nature;1999
474;Jack Frost;1998
475;Inspector Gadget;1999
476;Isn't She Great;2000
477;Town & Country;2001
478;U-571;2000
479;Big Daddy;1999
480;The Ninth Gate;1999
481;The World Is Not Enough;1999
482;American Psycho;2000
483;Bride of Chucky;1998
484;The General's Daughter;1999
485;Nutty Professor II: The Klumps;2000
486;The Rage: Carrie 2;1999
487;Spider-Man;2002
488;Stigmata;1999
489;Austin Powers: The Spy Who Shagged Me;1999
490;The Bone Collector;1999
491;Naqoyqatsi;2002
492;Thirteen Days;2000
493;Lara Croft: Tomb Raider;2001
494;Urban Legend;1998
495;End of Days;1999
496;Any Given Sunday;1999
